"","id","values","frequency","group"
"1",1,10,42,2
"2",2,45,49,3
"3",3,-20,57,1
"4",4,31,50,3
"5",5,1,59,3
"6",6,46,34,2
"7",7,47,28,1
"8",8,44,5,2
"9",9,17,21,1
"10",10,21,60,2
"11",11,-6,15,2
"12",12,58,62,2
"13",13,12,68,1
"14",14,44,24,2
"15",15,-3,45,1
"16",16,-25,54,3
"17",17,41,6,2
"18",18,-24,4,2
"19",19,-18,65,3
"20",20,32,33,2
"21",21,26,66,1
"22",22,39,44,2
"23",23,35,45,1
"24",24,-56,10,3
"25",25,56,38,2
"26",26,34,49,1
"27",27,-49,18,1
"28",28,-49,5,3
"29",29,9,53,2
"30",30,-25,14,1
"31",31,-27,50,2
"32",32,56,27,3
"33",33,-35,12,3
"34",34,-35,8,1
"35",35,55,43,3
"36",36,34,43,3
"37",37,-1,69,2
"38",38,21,70,2
"39",39,46,11,1
"40",40,23,38,3
"41",41,44,2,3
"42",42,51,44,1
"43",43,29,59,3
"44",44,26,65,2
"45",45,27,41,3
"46",46,13,12,1
"47",47,-30,55,1
"48",48,-32,40,2
"49",49,48,24,2
"50",50,59,58,3
