"","sex","ageYear","heightIn","weightLb"
"1","f",11.92,56.3,85
"2","f",12.92,62.3,105
"3","f",12.75,63.3,108
"4","f",13.42,59,92
"5","f",15.92,62.5,112.5
"6","f",14.25,62.5,112
"7","f",15.42,59,104
"8","f",11.83,56.5,69
"9","f",13.33,62,94.5
"10","f",11.67,53.8,68.5
"11","f",11.58,61.5,104
"12","f",14.83,61.5,103.5
"13","f",13.08,64.5,123.5
"14","f",12.42,58.3,93
"15","f",11.92,51.3,50.5
"16","f",12.08,58.8,89
"17","f",15.92,65.3,107
"18","f",12.5,59.5,78.5
"19","f",12.25,61.3,115
"20","f",15,63.3,114
"21","f",11.75,61.8,85
"22","f",11.67,53.5,81
"23","f",13.67,58,83.5
"24","f",14.67,61.3,112
"25","f",15.42,63.3,101
"26","f",13.83,61.5,103.5
"27","f",14.58,60.8,93.5
"28","f",15,59,112
"29","f",17.5,65.5,140
"30","f",12.17,56.3,83.5
"31","f",14.17,64.3,90
"32","f",13.5,58,84
"33","f",12.42,64.3,110.5
"34","f",11.58,57.5,96
"35","f",15.5,57.8,95
"36","f",16.42,61.5,121
"37","f",14.08,62.3,99.5
"38","f",14.75,61.8,142.5
"39","f",15.42,65.3,118
"40","f",15.17,58.3,104.5
"41","f",14.42,62.8,102.5
"42","f",13.83,59.3,89.5
"43","f",14,61.5,95
"44","f",14.08,62,98.5
"45","f",12.5,61.3,94
"46","f",15.33,62.3,108
"47","f",11.58,52.8,63.5
"48","f",12.25,59.8,84.5
"49","f",12,59.5,93.5
"50","f",14.75,61.3,112
"51","f",14.83,63.5,148.5
"52","f",16.42,64.8,112
"53","f",12.17,60,109
"54","f",12.08,59,91.5
"55","f",12.25,55.8,75
"56","f",12.08,57.8,84
"57","f",12.92,61.3,107
"58","f",13.92,62.3,92.5
"59","f",15.25,64.3,109.5
"60","f",11.92,55.5,84
"61","f",15.25,64.5,102.5
"62","f",15.42,60,106
"63","f",12.33,56.3,77
"64","f",12.25,58.3,111.5
"65","f",12.83,60,114
"66","f",13,54.5,75
"67","f",12,55.8,73.5
"68","f",12.83,62.8,93.5
"69","f",12.67,60.5,105
"70","f",15.92,63.3,113.5
"71","f",15.83,66.8,140
"72","f",11.67,60,77
"73","f",12.33,60.5,84.5
"74","f",15.75,64.3,113.5
"75","f",11.92,58.3,77.5
"76","f",14.83,66.5,117.5
"77","f",13.67,65.3,98
"78","f",13.08,60.5,112
"79","f",12.25,59.5,101
"80","f",12.33,59,95
"81","f",14.75,61.3,81
"82","f",14.25,61.5,91
"83","f",14.33,64.8,142
"84","f",15.83,56.8,98.5
"85","f",15.25,66.5,112
"86","f",11.92,61.5,116.5
"87","f",14.92,63,98.5
"88","f",15.5,57,83.5
"89","f",15.17,65.5,133
"90","f",15.17,62,91.5
"91","f",11.83,56,72.5
"92","f",13.75,61.3,106.5
"93","f",13.75,55.5,67
"94","f",12.83,61,122.5
"95","f",12.5,54.5,74
"96","f",12.92,66,144.5
"97","f",13.58,56.5,84
"98","f",11.75,56,72.5
"99","f",12.25,51.5,64
"100","f",17.5,62,116
"101","f",14.25,63,84
"102","f",13.92,61,93.5
"103","f",15.17,64,111.5
"104","f",12,61,92
"105","f",16.08,59.8,115
"106","f",11.75,61.3,85
"107","f",13.67,63.3,108
"108","f",15.5,63.5,108
"109","f",14.08,61.5,85
"110","f",14.58,60.3,86
"111","f",15,61.3,110.5
"112","m",13.75,64.8,98
"113","m",13.08,60.5,105
"114","m",12,57.3,76.5
"115","m",12.5,59.5,84
"116","m",12.5,60.8,128
"117","m",11.58,60.5,87
"118","m",15.75,67,128
"119","m",15.25,64.8,111
"120","m",12.25,50.5,79
"121","m",12.17,57.5,90
"122","m",13.33,60.5,84
"123","m",13,61.8,112
"124","m",14.42,61.3,93
"125","m",12.58,66.3,117
"126","m",11.75,53.3,84
"127","m",12.5,59,99.5
"128","m",13.67,57.8,95
"129","m",12.75,60,84
"130","m",17.17,68.3,134
"132","m",14.67,63.8,98.5
"133","m",14.67,65,118.5
"134","m",11.67,59.5,94.5
"135","m",15.42,66,105
"136","m",15,61.8,104
"137","m",12.17,57.3,83
"138","m",15.25,66,105.5
"139","m",11.67,56.5,84
"140","m",12.58,58.3,86
"141","m",12.58,61,81
"142","m",12,62.8,94
"143","m",13.33,59.3,78.5
"144","m",14.83,67.3,119.5
"145","m",16.08,66.3,133
"146","m",13.5,64.5,119
"147","m",13.67,60.5,95
"148","m",15.5,66,112
"149","m",11.92,57.5,75
"150","m",14.58,64,92
"151","m",14.58,68,112
"152","m",14.58,63.5,98.5
"153","m",14.42,69,112.5
"154","m",14.17,63.8,112.5
"155","m",14.5,66,108
"156","m",13.67,63.5,108
"157","m",12,59.5,88
"158","m",13,66.3,106
"159","m",12.42,57,92
"160","m",12,60,117.5
"161","m",12.25,57,84
"162","m",15.67,67.3,112
"163","m",14.08,62,100
"164","m",14.33,65,112
"165","m",12.5,59.5,84
"166","m",16.08,67.8,127.5
"167","m",13.08,58,80.5
"168","m",14,60,93.5
"169","m",11.67,58.5,86.5
"170","m",13,58.3,92.5
"171","m",13,61.5,108.5
"172","m",13.17,65,121
"173","m",15.33,66.5,112
"174","m",13,68.5,114
"175","m",12,57,84
"176","m",14.67,61.5,81
"177","m",14,66.5,111.5
"178","m",12.42,52.5,81
"179","m",11.83,55,70
"180","m",15.67,71,140
"181","m",16.92,66.5,117
"182","m",11.83,58.8,84
"183","m",15.75,66.3,112
"184","m",15.67,65.8,150.5
"185","m",16.67,71,147
"186","m",12.67,59.5,105
"187","m",14.5,69.8,119.5
"188","m",13.83,62.5,84
"189","m",12.08,56.5,91
"190","m",11.92,57.5,101
"191","m",13.58,65.3,117.5
"192","m",13.83,67.3,121
"193","m",15.17,67,133
"194","m",14.42,66,112
"195","m",12.92,61.8,91.5
"196","m",13.5,60,105
"197","m",14.75,63,111
"198","m",14.75,60.5,112
"199","m",14.58,65.5,114
"200","m",13.83,62,91
"201","m",12.5,59,98
"202","m",12.5,61.8,118
"203","m",15.67,63.3,115.5
"204","m",13.58,66,112
"205","m",14.25,61.8,112
"206","m",13.5,63,91
"207","m",11.75,57.5,85
"208","m",14.5,63,112
"209","m",11.83,56,87.5
"210","m",12.33,60.5,118
"211","m",11.67,56.8,83.5
"212","m",13.33,64,116
"213","m",12,60,89
"214","m",17.17,69.5,171.5
"215","m",13.25,63.3,112
"216","m",12.42,56.3,72
"217","m",16.08,72,150
"218","m",16.17,65.3,134.5
"219","m",12.67,60.8,97
"220","m",12.17,55,71.5
"221","m",11.58,55,73.5
"222","m",15.5,66.5,112
"223","m",13.42,56.8,75
"224","m",12.75,64.8,128
"225","m",16.33,64.5,98
"226","m",13.67,58,84
"227","m",13.25,62.8,99
"228","m",14.83,63.8,112
"229","m",12.75,57.8,79.5
"230","m",12.92,57.3,80.5
"231","m",14.83,63.5,102.5
"232","m",11.83,55,76
"233","m",13.67,66.5,112
"234","m",15.75,65,114
"235","m",13.67,61.5,140
"236","m",13.92,62,107.5
"237","m",12.58,59.3,87
